annotation_id,case_id,system_label,scenario_focus,stress_surfaces,case_brief,runtime_control_reference,output_text,output_source
C015-B,C015,System B,career,"[""surface_mismatch"",""over_personalization""]","Composite synthetic career transition fixture. The structured commitment can be valid while the realized prose implies an unsupported stronger claim. No raw production history is used; this fixture preserves only an abstract surface mismatch stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail surface.","Case setup: Composite synthetic career transition fixture. The structured commitment can be valid while the realized prose implies an unsupported stronger claim. No raw production history is used; this fixture preserves only an abstract surface mismatch stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail surface.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career surface detail; Deadline evidence; Income floor evidence; Career surface evidence; Caregiver schedule tail surface.
Consequence obligations: Career delay follow-up; Career surface follow-up.
Runtime-control stress: avoid prose that overstates or changes the validated structured commitment; avoid intrusive or unsupported personalization beyond the confirmed evidence.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C015-C,C015,System C,career,"[""surface_mismatch"",""over_personalization""]","Composite synthetic career transition fixture. The structured commitment can be valid while the realized prose implies an unsupported stronger claim. No raw production history is used; this fixture preserves only an abstract surface mismatch stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail surface.","Case setup: Composite synthetic career transition fixture. The structured commitment can be valid while the realized prose implies an unsupported stronger claim. No raw production history is used; this fixture preserves only an abstract surface mismatch stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail surface.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career surface detail; Deadline evidence; Income floor evidence; Career surface evidence; Caregiver schedule tail surface.
Consequence obligations: Career delay follow-up; Career surface follow-up.
Runtime-control stress: avoid prose that overstates or changes the validated structured commitment; avoid intrusive or unsupported personalization beyond the confirmed evidence.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C016-A,C016,System A,career,"[""witness_drop"",""consequence_debt""]","Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.","Case setup: Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career tail detail; Deadline evidence; Income floor evidence; Career tail evidence; Caregiver schedule tail.
Consequence obligations: Career delay follow-up; Career tail follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C016-B,C016,System B,career,"[""witness_drop"",""consequence_debt""]","Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.","Case setup: Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career tail detail; Deadline evidence; Income floor evidence; Career tail evidence; Caregiver schedule tail.
Consequence obligations: Career delay follow-up; Career tail follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C016-C,C016,System C,career,"[""witness_drop"",""consequence_debt""]","Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.","Case setup: Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career tail detail; Deadline evidence; Income floor evidence; Career tail evidence; Caregiver schedule tail.
Consequence obligations: Career delay follow-up; Career tail follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C017-A,C017,System A,career,"[""witness_drop"",""consequence_debt""]","Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.","Case setup: Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career tail detail; Deadline evidence; Income floor evidence; Career tail evidence; Caregiver schedule tail.
Consequence obligations: Career delay follow-up; Career tail follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C017-B,C017,System B,career,"[""witness_drop"",""consequence_debt""]","Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.","Case setup: Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career tail detail; Deadline evidence; Income floor evidence; Career tail evidence; Caregiver schedule tail.
Consequence obligations: Career delay follow-up; Career tail follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C017-C,C017,System C,career,"[""witness_drop"",""consequence_debt""]","Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.","Case setup: Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career tail detail; Deadline evidence; Income floor evidence; Career tail evidence; Caregiver schedule tail.
Consequence obligations: Career delay follow-up; Career tail follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C018-A,C018,System A,career,"[""witness_drop"",""consequence_debt""]","Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.","Case setup: Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career tail detail; Deadline evidence; Income floor evidence; Career tail evidence; Caregiver schedule tail.
Consequence obligations: Career delay follow-up; Career tail follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C018-B,C018,System B,career,"[""witness_drop"",""consequence_debt""]","Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.","Case setup: Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career tail detail; Deadline evidence; Income floor evidence; Career tail evidence; Caregiver schedule tail.
Consequence obligations: Career delay follow-up; Career tail follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C018-C,C018,System C,career,"[""witness_drop"",""consequence_debt""]","Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.","Case setup: Composite synthetic career transition fixture. A rare late witness is decisive but appears after more salient background details. No raw production history is used; this fixture preserves only an abstract tail witness stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: caregiver schedule tail.
Confirmed hard boundaries: Visa or contract deadline must be respected; Minimum income floor must hold.
Required evidence and details: Career; Finance; Time window; Role detail; Income bridge; Late tail witness; Career tail detail; Deadline evidence; Income floor evidence; Career tail evidence; Caregiver schedule tail.
Consequence obligations: Career delay follow-up; Career tail follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C019-A,C019,System A,comprehensive,"[""consequence_debt"",""witness_drop""]","Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.","Case setup: Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.
Confirmed hard boundaries: Medical or family boundary must not be overridden; Fixed cashflow obligation must be preserved.
Required evidence and details: Finance; Career; Relationship family; Time window; Cashflow detail; Role conflict detail; Late tail witness; Comprehensive debt detail; Cashflow obligation evidence; Family boundary evidence; Comprehensive debt evidence; Role conflict tail debt.
Consequence obligations: Multi domain follow-up; Comprehensive debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C019-B,C019,System B,comprehensive,"[""consequence_debt"",""witness_drop""]","Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.","Case setup: Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.
Confirmed hard boundaries: Medical or family boundary must not be overridden; Fixed cashflow obligation must be preserved.
Required evidence and details: Finance; Career; Relationship family; Time window; Cashflow detail; Role conflict detail; Late tail witness; Comprehensive debt detail; Cashflow obligation evidence; Family boundary evidence; Comprehensive debt evidence; Role conflict tail debt.
Consequence obligations: Multi domain follow-up; Comprehensive debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C019-C,C019,System C,comprehensive,"[""consequence_debt"",""witness_drop""]","Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.","Case setup: Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.
Confirmed hard boundaries: Medical or family boundary must not be overridden; Fixed cashflow obligation must be preserved.
Required evidence and details: Finance; Career; Relationship family; Time window; Cashflow detail; Role conflict detail; Late tail witness; Comprehensive debt detail; Cashflow obligation evidence; Family boundary evidence; Comprehensive debt evidence; Role conflict tail debt.
Consequence obligations: Multi domain follow-up; Comprehensive debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C020-A,C020,System A,comprehensive,"[""consequence_debt"",""witness_drop""]","Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.","Case setup: Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.
Confirmed hard boundaries: Medical or family boundary must not be overridden; Fixed cashflow obligation must be preserved.
Required evidence and details: Finance; Career; Relationship family; Time window; Cashflow detail; Role conflict detail; Late tail witness; Comprehensive debt detail; Cashflow obligation evidence; Family boundary evidence; Comprehensive debt evidence; Role conflict tail debt.
Consequence obligations: Multi domain follow-up; Comprehensive debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C020-B,C020,System B,comprehensive,"[""consequence_debt"",""witness_drop""]","Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.","Case setup: Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.
Confirmed hard boundaries: Medical or family boundary must not be overridden; Fixed cashflow obligation must be preserved.
Required evidence and details: Finance; Career; Relationship family; Time window; Cashflow detail; Role conflict detail; Late tail witness; Comprehensive debt detail; Cashflow obligation evidence; Family boundary evidence; Comprehensive debt evidence; Role conflict tail debt.
Consequence obligations: Multi domain follow-up; Comprehensive debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C020-C,C020,System C,comprehensive,"[""consequence_debt"",""witness_drop""]","Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.","Case setup: Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.
Confirmed hard boundaries: Medical or family boundary must not be overridden; Fixed cashflow obligation must be preserved.
Required evidence and details: Finance; Career; Relationship family; Time window; Cashflow detail; Role conflict detail; Late tail witness; Comprehensive debt detail; Cashflow obligation evidence; Family boundary evidence; Comprehensive debt evidence; Role conflict tail debt.
Consequence obligations: Multi domain follow-up; Comprehensive debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C021-A,C021,System A,comprehensive,"[""consequence_debt"",""witness_drop""]","Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.","Case setup: Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.
Confirmed hard boundaries: Medical or family boundary must not be overridden; Fixed cashflow obligation must be preserved.
Required evidence and details: Finance; Career; Relationship family; Time window; Cashflow detail; Role conflict detail; Late tail witness; Comprehensive debt detail; Cashflow obligation evidence; Family boundary evidence; Comprehensive debt evidence; Role conflict tail debt.
Consequence obligations: Multi domain follow-up; Comprehensive debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C021-B,C021,System B,comprehensive,"[""consequence_debt"",""witness_drop""]","Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.","Case setup: Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.
Confirmed hard boundaries: Medical or family boundary must not be overridden; Fixed cashflow obligation must be preserved.
Required evidence and details: Finance; Career; Relationship family; Time window; Cashflow detail; Role conflict detail; Late tail witness; Comprehensive debt detail; Cashflow obligation evidence; Family boundary evidence; Comprehensive debt evidence; Role conflict tail debt.
Consequence obligations: Multi domain follow-up; Comprehensive debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C021-C,C021,System C,comprehensive,"[""consequence_debt"",""witness_drop""]","Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.","Case setup: Composite synthetic multi-domain life planning fixture. An earlier local choice creates a later obligation that must be carried into the result. No raw production history is used; this fixture preserves only an abstract consequence debt stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail debt.
Confirmed hard boundaries: Medical or family boundary must not be overridden; Fixed cashflow obligation must be preserved.
Required evidence and details: Finance; Career; Relationship family; Time window; Cashflow detail; Role conflict detail; Late tail witness; Comprehensive debt detail; Cashflow obligation evidence; Family boundary evidence; Comprehensive debt evidence; Role conflict tail debt.
Consequence obligations: Multi domain follow-up; Comprehensive debt follow-up.
Runtime-control stress: retain low-frequency evidence that materially changes the commitment; carry forward downstream obligations created by earlier choices.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C022-A,C022,System A,comprehensive,"[""false_hardening"",""over_personalization""]","Composite synthetic multi-domain life planning fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail falsehard.","Case setup: Composite synthetic multi-domain life planning fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail falsehard.
Confirmed hard boundaries: Medical or family boundary must not be overridden; Fixed cashflow obligation must be preserved.
Required evidence and details: Finance; Career; Relationship family; Time window; Cashflow detail; Role conflict detail; Late tail witness; Comprehensive falsehard detail; Cashflow obligation evidence; Family boundary evidence; Comprehensive falsehard evidence; Role conflict tail falsehard.
Consequence obligations: Multi domain follow-up; Comprehensive falsehard follow-up.
Runtime-control stress: do not convert soft preferences or emotional hints into new hard constraints; avoid intrusive or unsupported personalization beyond the confirmed evidence.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C022-B,C022,System B,comprehensive,"[""false_hardening"",""over_personalization""]","Composite synthetic multi-domain life planning fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail falsehard.","Case setup: Composite synthetic multi-domain life planning fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail falsehard.
Confirmed hard boundaries: Medical or family boundary must not be overridden; Fixed cashflow obligation must be preserved.
Required evidence and details: Finance; Career; Relationship family; Time window; Cashflow detail; Role conflict detail; Late tail witness; Comprehensive falsehard detail; Cashflow obligation evidence; Family boundary evidence; Comprehensive falsehard evidence; Role conflict tail falsehard.
Consequence obligations: Multi domain follow-up; Comprehensive falsehard follow-up.
Runtime-control stress: do not convert soft preferences or emotional hints into new hard constraints; avoid intrusive or unsupported personalization beyond the confirmed evidence.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C022-C,C022,System C,comprehensive,"[""false_hardening"",""over_personalization""]","Composite synthetic multi-domain life planning fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail falsehard.","Case setup: Composite synthetic multi-domain life planning fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail falsehard.
Confirmed hard boundaries: Medical or family boundary must not be overridden; Fixed cashflow obligation must be preserved.
Required evidence and details: Finance; Career; Relationship family; Time window; Cashflow detail; Role conflict detail; Late tail witness; Comprehensive falsehard detail; Cashflow obligation evidence; Family boundary evidence; Comprehensive falsehard evidence; Role conflict tail falsehard.
Consequence obligations: Multi domain follow-up; Comprehensive falsehard follow-up.
Runtime-control stress: do not convert soft preferences or emotional hints into new hard constraints; avoid intrusive or unsupported personalization beyond the confirmed evidence.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C023-A,C023,System A,comprehensive,"[""false_hardening"",""over_personalization""]","Composite synthetic multi-domain life planning fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail falsehard.","Case setup: Composite synthetic multi-domain life planning fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail falsehard.
Confirmed hard boundaries: Medical or family boundary must not be overridden; Fixed cashflow obligation must be preserved.
Required evidence and details: Finance; Career; Relationship family; Time window; Cashflow detail; Role conflict detail; Late tail witness; Comprehensive falsehard detail; Cashflow obligation evidence; Family boundary evidence; Comprehensive falsehard evidence; Role conflict tail falsehard.
Consequence obligations: Multi domain follow-up; Comprehensive falsehard follow-up.
Runtime-control stress: do not convert soft preferences or emotional hints into new hard constraints; avoid intrusive or unsupported personalization beyond the confirmed evidence.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C023-B,C023,System B,comprehensive,"[""false_hardening"",""over_personalization""]","Composite synthetic multi-domain life planning fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail falsehard.","Case setup: Composite synthetic multi-domain life planning fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail falsehard.
Confirmed hard boundaries: Medical or family boundary must not be overridden; Fixed cashflow obligation must be preserved.
Required evidence and details: Finance; Career; Relationship family; Time window; Cashflow detail; Role conflict detail; Late tail witness; Comprehensive falsehard detail; Cashflow obligation evidence; Family boundary evidence; Comprehensive falsehard evidence; Role conflict tail falsehard.
Consequence obligations: Multi domain follow-up; Comprehensive falsehard follow-up.
Runtime-control stress: do not convert soft preferences or emotional hints into new hard constraints; avoid intrusive or unsupported personalization beyond the confirmed evidence.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
C023-C,C023,System C,comprehensive,"[""false_hardening"",""over_personalization""]","Composite synthetic multi-domain life planning fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail falsehard.","Case setup: Composite synthetic multi-domain life planning fixture. A soft preference is phrased emotionally and can be mistaken for a confirmed hard predicate. No raw production history is used; this fixture preserves only an abstract false hardening stress mechanism. Noisy self-report contains recent excitement, older constraints, and one low-frequency witness: role conflict tail falsehard.
Confirmed hard boundaries: Medical or family boundary must not be overridden; Fixed cashflow obligation must be preserved.
Required evidence and details: Finance; Career; Relationship family; Time window; Cashflow detail; Role conflict detail; Late tail witness; Comprehensive falsehard detail; Cashflow obligation evidence; Family boundary evidence; Comprehensive falsehard evidence; Role conflict tail falsehard.
Consequence obligations: Multi domain follow-up; Comprehensive falsehard follow-up.
Runtime-control stress: do not convert soft preferences or emotional hints into new hard constraints; avoid intrusive or unsupported personalization beyond the confirmed evidence.
A faithful output may make a commitment only if it preserves the confirmed boundaries and required evidence.",,empty
