case_id,annotator_id,best_system_label,notes
C071,llm_qwen3_6_35b_a3b,System B,"System B preserves hard boundaries, integrates the late family-meeting witness, acknowledges shared-living obligations, and maintains a consistent commitment without violating constraints."
C072,llm_qwen3_6_35b_a3b,System B,"System B explicitly preserves hard boundaries, confirms required evidence slots, and correctly carries forward consequence obligations without copying synthetic identifiers or overcommitting. Aligns best with runtime-control fidelity."
C073,llm_qwen3_6_35b_a3b,System B,"Strictly preserves hard boundaries and correctly exercises conservative abstention when relocation conflicts with fixed constraints, avoiding unsupported specifics and identifier copying."
C074,llm_qwen3_6_35b_a3b,System A,"Preserves hard boundaries, explicitly carries forward all three consequence obligations, and integrates required evidence without relying on synthetic identifiers. Maintains runtime-control fidelity better than B or C."
C075,llm_qwen3_6_35b_a3b,System B,"System B correctly prioritizes hard boundaries over forced commitments, avoids unsupported specifics, and appropriately abstains when constraints preclude relocation, aligning with runtime-control fidelity rules."
C076,llm_qwen3_6_35b_a3b,System A,System A preserves confirmed boundaries and consequence obligations while avoiding unsupported specifics or fabricated timelines. It maintains runtime-control fidelity by conservatively handling evidence slots and preventing soft preferences from becoming hard constraints.
C077,llm_qwen3_6_35b_a3b,System A,System A correctly abstains based on hard boundaries without copying synthetic identifiers or adding unsupported specifics. System B violates explicit constraints by including raw identifiers and proposing unverified repairs. System A maintains runtime-control fidelity.
C078,llm_qwen3_6_35b_a3b,System A,"System A correctly identifies infeasibility from fixed boundaries, abstains per runtime-control rules, and avoids copying synthetic identifiers or forcing unsupported commitments."
C079,llm_qwen3_6_35b_a3b,System B,"Correctly identifies unresolvable conflict between fixed boundaries and scoped exception, then conservatively abstains. Avoids unsupported specifics and honors runtime-control fidelity rules."
C080,llm_qwen3_6_35b_a3b,System B,System B strictly preserves all hard boundaries and consequence obligations while appropriately abstaining from an unverified commitment. It avoids unsupported specifics and aligns with the directive to prefer conservative abstention over flawed policy generation.
C081,llm_qwen3_6_35b_a3b,System A,"System A correctly abstains due to incomplete evidence, preserving hard boundaries and downstream obligations without fabricating specifics or forcing a flawed commitment, aligning with runtime-control fidelity requirements."
C082,llm_qwen3_6_35b_a3b,System A,"System A accurately flags the mutual incompatibility, explicitly abstains, and follows the runtime-control directive to suggest recontracting constraints, maintaining strict boundary fidelity."
C083,llm_qwen3_6_35b_a3b,System C,"System C explicitly preserves confirmed hard boundaries, correctly abstains due to mutual incompatibility, and tracks pending consequence obligations, demonstrating superior runtime-control fidelity."
C084,llm_qwen3_6_35b_a3b,System C,"System C best preserves runtime-control fidelity by explicitly abstaining, tracking all consequence obligations, and proposing recontract as directed. It avoids System A’s omission of obligations and System B’s excessive internal slot dumping."
C085,llm_qwen3_6_35b_a3b,System B,"System B follows the explicit runtime-control preference for conservative repair/abstention, correctly halting to avoid the unsupported stronger claim and synthetic identifier dumping seen in A and C."
C086,llm_qwen3_6_35b_a3b,System A,"System A correctly identifies the hard constraint conflict, abstains from an unsupported relocation commitment, and properly routes to required consequence follow-ups, aligning with runtime-control fidelity standards."
C087,llm_qwen3_6_35b_a3b,System A,Preserves hard boundaries and required consequences without adding unsupported specifics. Maintains a feasible commitment while avoiding System B's over-specification and System C's unnecessary evidence-dropping abstention.
C088,llm_qwen3_6_35b_a3b,System C,"System C enforces hard boundaries, retains required evidence and late witness, explicitly abstains, and tracks downstream obligations. System B drops required details and consequence tracking."
C089,llm_qwen3_6_35b_a3b,System C,"Correctly abstains from full relocation due to fixed boundaries, proposes a compliant localized adjustment, and acknowledges late-witness evidence and downstream obligations without hallucinating synthetic IDs or unsupported specifics."
C090,llm_qwen3_6_35b_a3b,System C,"System C preserves hard boundaries, integrates the decisive late witness without copying synthetic IDs, and correctly shifts to deferral. It addresses consequence obligations and maintains strict runtime-control fidelity."
